SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,10393 N Kendall Dr Unit U6,Miami,FL,33176,250000,2,1.0,KENDALL ACRES CONDO BLDG,891,,1971,62,281,230,Active,,,https://www.redfin.com/FL/Miami/10393-N-Kendall-Dr-33176/unit-U6/home/43092397,MARMLS,A11139381,N,Y,25.6890162,-80.3613679
PAST SALE,June-7-1995,Condo/Co-op,10500 SW 108th Ave Unit B308,Miami,FL,33176,149000,1,1.5,THE TERRACES CONDO PH II,725,,1971,62,206,240,Pending,,,https://www.redfin.com/FL/Miami/10500-SW-108th-Ave-33176/unit-B308/home/43146941,MARMLS,A11139358,N,Y,25.6710664,-80.3701277
MLS Listing,,Single Family Residential,11511 SW 128th St,Miami,FL,33176,775000,4,2.0,PINE SHORE SEC 4,2039,16875,1977,64,380,,Active,,,https://www.redfin.com/FL/Miami/11511-SW-128th-St-33176/home/43163831,MARMLS,A11138465,N,Y,25.6484748,-80.3812403
PAST SALE,November-19-2018,Single Family Residential,9190 SW 82nd Ave,Miami,FL,33156,2100000,5,5.0,3 55 40 .36 AC,5344,15716,1994,64,393,,Pending,,,https://www.redfin.com/FL/Miami/9190-SW-82nd-Ave-33156/home/43147945,MARMLS,A11137688,N,Y,25.6850486,-80.3276216
MLS Listing,,Townhouse,9103 SW 96th Ave,Miami,FL,33176,315000,2,2.5,CHERRY GROVE TOWNHOUSES,1672,,1970,64,188,,Contingent,,,https://www.redfin.com/FL/Miami/9103-SW-96th-Ave-33176/home/43151327,MARMLS,A11138616,N,Y,25.6851446,-80.3499539
PAST SALE,December-1-1986,Townhouse,11352 SW 68 Te,Miami,FL,33173,339900,3,2.0,SNAPPER CREEK TOWNHOUSES,1482,,1972,67,229,150,Pending,,,https://www.redfin.com/FL/Miami/11352-SW-68th-Ter-33173/home/43089388,MARMLS,A11137928,N,Y,25.7038758,-80.376989
MLS Listing,,Townhouse,10449 SW 80th St,Miami,FL,33173,489000,3,2.5,SUNSET PARK,1966,,1973,67,249,205,Contingent,,,https://www.redfin.com/FL/Miami/10449-SW-80th-St-33173/home/43095501,MARMLS,A11134984,N,Y,25.6944085,-80.3621332
PAST SALE,,Condo/Co-op,7275 SW 89th St Unit B216,Miami,FL,33156,299000,2,2.0,DOWNTOWN DADELAND CONDO N,1152,,2006,68,260,708,Pending,,,https://www.redfin.com/FL/Miami/7275-SW-89th-St-33156/unit-B216/home/43359596,MARMLS,A11137617,N,Y,25.6877773,-80.3131844
PAST SALE,February-16-1993,Single Family Residential,10350 SW 125th St,Miami,FL,33176,1220000,4,3.0,MELISSA ESTATES,3366,18423,1983,68,362,,Pending,,,https://www.redfin.com/FL/Miami/10350-SW-125th-St-33176/home/43151784,MARMLS,A11137584,N,Y,25.6528596,-80.3624068
PAST SALE,January-10-2008,Townhouse,7355 SW 90th St Unit TH102,Miami,FL,33156,349999,1,1.5,TOSCANO CONDO,1002,,2007,68,349,719,Pending,,,https://www.redfin.com/FL/Miami/7355-SW-90th-St-33156/unit-TH102/home/45426545,MARMLS,A11137568,N,Y,25.6879265,-80.3145399
